Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2021;Jawa Tengah;Kab. Semarang;192189;94493
2021;Jawa Tengah;Kab. Temanggung;182563;58419
2021;Jawa Tengah;Kab. Batang;118317;38296
2021;Jawa Tengah;Kab. Pekalongan;141448;64536
2021;Jawa Tengah;Kab. Pemalang;214837;172589
2021;Jawa Tengah;Kab. Tegal;244819;198163
2021;Jawa Tengah;Kab. Brebes;358865;63542
2021;Jawa Tengah;Kota Magelang;29448;25620
2021;Jawa Tengah;Kota Salatiga;40969;36772
2021;Jawa Tengah;Kota Semarang;430750;421616
2021;Jawa Tengah;Kota Tegal;73574;60281
2021;D.I. Yogyakarta;Kab. Kulon Progo;64654;27277
2021;D.I. Yogyakarta;Kab. Sleman;268482;142855
2021;D.I. Yogyakarta;Kota Yogyakarta;119502;118818
2021;Jawa Timur;Kab. Pacitan;104655;24119
2021;Jawa Timur;Kab. Ponorogo;141541;113240
2021;Jawa Timur;Kab. Trenggalek;107294;77774
2021;Jawa Timur;Kab. Tulungagung;200128;84445
2021;Jawa Timur;Kab. Blitar;149624;112099
2021;Jawa Timur;Kab. Kediri;194846;49569
2021;Jawa Timur;Kab. Lumajang;183049;99344
2021;Jawa Timur;Kab. Banyuwangi;457297;225751
2021;Jawa Timur;Kab. Situbondo;93866;74506
2021;Jawa Timur;Kab. Jombang;193583;70717
2021;Jawa Timur;Kab. Nganjuk;162014;81562
2021;Jawa Timur;Kab. Magetan;97939;31109
2021;Jawa Timur;Kab. Ngawi;130204;56506
2021;Jawa Timur;Kab. Bojonegoro;195824;45240
2021;Jawa Timur;Kab. Tuban;183655;97343
2021;Jawa Timur;Kab. Lamongan;81008;34129
2021;Jawa Timur;Kab. Pamekasan;100957;50647
2021;Jawa Timur;Kab. Sumenep;134117;19710
2021;Jawa Timur;Kota Kediri;61812;58704
2021;Jawa Timur;Kota Blitar;27443;26808
2021;Jawa Timur;Kota Malang;247389;242577
2021;Jawa Timur;Kota Probolinggo;35248;30081
2021;Jawa Timur;Kota Pasuruan;49349;48709
2021;Jawa Timur;Kota Madiun;43695;42833
2021;Jawa Timur;Kota Surabaya;650615;642663
2021;Jawa Timur;Kota Batu;41762;40632
2021;Banten;Kab. Serang;424802;35621
2021;Banten;Kota Cilegon;79369;59876
2021;Banten;Kota Tangerang Selatan;291659;255331
2021;Bali;Kab. Jembrana;59396;31033
2021;Bali;Kab. Tabanan;84247;46946
2021;Bali;Kab. Badung;116731;108088
2021;Bali;Kab. Gianyar;141337;124162
2021;Bali;Kab. Bangli;40480;28960
2021;Bali;Kab. Buleleng;123772;80934
2021;Bali;Kota Denpasar;349519;325861
2021;Nusa Tenggara Barat;Kab. Lombok Timur;176455;66451
2021;Nusa Tenggara Barat;Kab. Sumbawa;94704;32054
2021;Nusa Tenggara Barat;Kota Mataram;96354;94740
2021;Nusa Tenggara Timur;Kab. Alor;42533;15056
2021;Nusa Tenggara Timur;Kab. Manggarai Barat;29996;6487
2021;Nusa Tenggara Timur;Kota Kupang;80803;55567
2021;Kalimantan Barat;Kab. Sambas;101244;26317
2021;Kalimantan Barat;Kab. Mempawah;30016;8817
2021;Kalimantan Barat;Kab. Sanggau;88479;16473
2021;Kalimantan Barat;Kab. Melawi;30524;13949
2021;Kalimantan Barat;Kota Pontianak;144651;142634
2021;Kalimantan Barat;Kota Singkawang;42899;22015
2021;Kalimantan Tengah;Kab. Kapuas;74898;22187
2021;Kalimantan Tengah;Kab. Barito Utara;23130;20875
2021;Kalimantan Tengah;Kab. Seruyan;29731;4340
2021;Kalimantan Tengah;Kab. Gunung Mas;37066;17228
