Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Sampah Terkelola Tahunan (ton/tahun)(B+C)
2019;Kalimantan Selatan;Kab. Hulu Sungai Tengah;39372;28527
2019;Kalimantan Selatan;Kab. Hulu Sungai Utara;34794;33252
2019;Kalimantan Selatan;Kab. Tanah Bumbu;65730;58843
2019;Kalimantan Selatan;Kab. Balangan;19249;13630
2019;Kalimantan Selatan;Kota Banjarmasin;181049;179475
2019;Kalimantan Selatan;Kota Banjarbaru;60412;37582
2019;Kalimantan Timur;Kab. Paser;41831;29173
2019;Kalimantan Timur;Kab. Kutai Kartanegara;75859;22496
2019;Kalimantan Timur;Kab. Berau;59041;21537
2019;Kalimantan Timur;Kab. Kutai Timur;77355;41853
2019;Kalimantan Timur;Kab. Penajam Paser Utara;39387;12582
2019;Kalimantan Timur;Kota Balikpapan;167398;34134
2019;Kalimantan Timur;Kota Samarinda;222992;196248
2019;Kalimantan Timur;Kota Bontang;37123;35884
2019;Kalimantan Utara;Kab. Nunukan;16110;11761
2019;Kalimantan Utara;Kota Tarakan;56319;52744
2019;Sulawesi Utara;Kab. Minahasa;62435;27791
2019;Sulawesi Utara;Kab. Kepulauan Sangihe;19146;12348
2019;Sulawesi Utara;Kab. Kepulauan Talaud;23632;7004
2019;Sulawesi Utara;Kab. Minahasa Selatan;34814;13165
2019;Sulawesi Utara;Kab. Minahasa Utara;37161;18161
2019;Sulawesi Utara;Kab. Minahasa Tenggara;16011;13755
2019;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;13794;2847
2019;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;12058;2920
2019;Sulawesi Utara;Kota Bitung;55956;41975
2019;Sulawesi Utara;Kota Tomohon;27317;22420
2019;Sulawesi Utara;Kota Kotamobagu;22567;19579
2019;Sulawesi Tengah;Kab. Banggai;67699;60437
2019;Sulawesi Tengah;Kab. Poso;36633;9982
2019;Sulawesi Tengah;Kab. Donggala;44032;4473
2019;Sulawesi Tengah;Kab. Parigi Moutong;78697;6313
2019;Sulawesi Selatan;Kab. Kepulauan Selayar;24751;15619
2019;Sulawesi Selatan;Kab. Bulukumba;61538;44704
2019;Sulawesi Selatan;Kab. Bantaeng;27245;14074
2019;Sulawesi Selatan;Kab. Sinjai;38825;31248
2019;Sulawesi Selatan;Kab. Bone;137312;40935
2019;Sulawesi Selatan;Kab. Maros;51556;38941
2019;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51130;9988
2019;Sulawesi Selatan;Kab. Barru;26626;20368
2019;Sulawesi Selatan;Kab. Wajo;57934;879
2019;Sulawesi Selatan;Kab. Sidenreng Rappang;44088;27398
2019;Sulawesi Selatan;Kab. Enrekang;42850;18146
2019;Sulawesi Selatan;Kab. Luwu Utara;47887;6705
2019;Sulawesi Selatan;Kab. Luwu Timur;42898;26541
2019;Sulawesi Selatan;Kota Parepare;26752;22707
2019;Sulawesi Selatan;Kota Palopo;37877;27062
2019;Sulawesi Tenggara;Kab. Kolaka;56245;15233
2019;Sulawesi Tenggara;Kab. Buton;14768;4559
2019;Sulawesi Tenggara;Kab. Bombana;20447;5447
2019;Gorontalo;Kab. Gorontalo;53496;6972
2019;Gorontalo;Kab. Pohuwato;21238;5390
2019;Gorontalo;Kota Gorontalo;51040;27573
2019;Sulawesi Barat;Kab. Pasangkayu;25399;896
2019;Sulawesi Barat;Kab. Polewali Mandar;64616;28172
2019;Maluku;Kab. Maluku Tenggara;18175;16009
2019;Maluku;Kab. Buru Selatan;11180;6745
2019;Maluku;Kota Ambon;98146;79800
2019;Maluku Utara;Kab. Halmahera Utara;50166;12775
2019;Maluku Utara;Kota Ternate;26385;21596
2019;Maluku Utara;Kota Tidore Kepulauan;16569;11611
2019;Papua;Kab. Biak Numfor;21232;20847
2019;Papua;Kota Jayapura;92212;75330
2019;Papua Selatan;Kab. Asmat;14234;2117
2019;Papua Barat Daya;Kab. Raja Ampat;12091;602
2018;Papua Barat;Kab. Manokwari;54830;21608

