Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Jawa Barat;Kab. Indramayu;109750;26015;101620;145520;4065;7317;3252;2845;6097
2022;Jawa Barat;Kab. Karawang;234519;3664;32979;51301;7329;3664;0;3664;29315
2022;Jawa Barat;Kab. Bekasi;0;0;0;0;0;0;0;0;0
2022;Jawa Barat;Kota Bogor;108691;38042;54346;40759;2717;6793;1359;2717;16304
2022;Jawa Barat;Kota Sukabumi;26318;9203;9203;11211;2172;1810;1317;1514;3081
2022;Jawa Barat;Kota Bandung;259051;23159;76342;97173;5237;27639;13849;11463;67963
2022;Jawa Barat;Kota Bekasi;435653;48109;28064;104236;1336;42095;3341;3341;2005
2022;Jawa Barat;Kota Cimahi;0;50874;8647;15685;3117;5329;0;3016;13875
2022;Jawa Barat;Kota Tasikmalaya;56724;0;6756;6290;233;2213;0;7338;36806
2022;Jawa Barat;Kota Banjar;0;0;0;0;0;0;0;0;0
2022;Jawa Tengah;Kab. Cilacap;200147;5935;33699;56987;4616;4338;0;4061;37274
2022;Jawa Tengah;Kab. Banyumas;70547;11758;11758;58789;17637;9798;5879;9798;0
2022;Jawa Tengah;Kab. Purbalingga;112547;3890;16658;34414;1266;4355;9567;1619;1805
2022;Jawa Tengah;Kab. Kebumen;50704;62197;11831;20282;11831;6761;3380;1690;338
2022;Jawa Tengah;Kab. Purworejo;16911;54961;2114;15854;1057;1585;211;1585;10569
2022;Jawa Tengah;Kab. Wonosobo;92147;2005;16804;13515;4679;802;414;1524;1791
2022;Jawa Tengah;Kab. Boyolali;0;0;0;0;0;0;0;0;0
2022;Jawa Tengah;Kab. Klaten;158237;8966;24550;35323;235;986;188;1526;4694
2022;Jawa Tengah;Kab. Sukoharjo;80317;2484;12959;22497;2616;3012;2404;1678;4135
2022;Jawa Tengah;Kab. Wonogiri;31729;12692;25384;31729;6346;6346;3173;6346;3173
2022;Jawa Tengah;Kab. Karanganyar;86352;2741;6853;27413;1371;2741;2741;4112;2741
2022;Jawa Tengah;Kab. Sragen;160055;1723;19172;24127;1077;3878;646;3878;862
2022;Jawa Tengah;Kab. Grobogan;0;0;0;0;0;0;0;0;0
2022;Jawa Tengah;Kab. Blora;36351;8389;20972;53128;11185;2796;2097;4194;699
2022;Jawa Tengah;Kab. Rembang;35080;1463;12313;31703;856;1730;709;1224;6948
2022;Jawa Tengah;Kab. Kudus;40420;34532;26009;29919;10714;7410;4940;7852;1783
2022;Jawa Tengah;Kab. Jepara;80240;1445;13230;35161;1039;3673;1415;1746;12568
2022;Jawa Tengah;Kab. Demak;123923;10547;39550;58007;132;132;13183;7646;10547
2022;Jawa Tengah;Kab. Semarang;0;0;0;0;0;0;0;0;0
2022;Jawa Tengah;Kab. Temanggung;48051;27530;7872;25471;10311;2936;2921;3009;17950
2022;Jawa Tengah;Kab. Kendal;124212;9892;1078;7872;135;1197;45;210;5013
2022;Jawa Tengah;Kab. Batang;57976;26917;26917;33129;14494;12423;6212;12423;16564
2022;Jawa Tengah;Kab. Pekalongan;9980;11691;9267;14542;1141;4277;2851;285;88536
2022;Jawa Tengah;Kab. Pemalang;0;0;0;0;0;0;0;0;0
2022;Jawa Tengah;Kab. Tegal;107263;33711;36776;42905;21453;18388;9194;21453;15323
2022;Jawa Tengah;Kab. Brebes;18347;183469;18347;91734;14678;14678;3669;3669;18347
2022;Jawa Tengah;Kota Magelang;9903;3908;5524;6318;235;529;147;1087;1734
2022;Jawa Tengah;Kota Surakarta;52438;7746;18734;31219;4999;9985;0;0;12224
2022;Jawa Tengah;Kota Salatiga;0;0;10250;2308;5125;2567;0;5379;8634
2022;Jawa Tengah;Kota Semarang;262057;0;43884;74147;5259;21296;4311;7716;12415
2022;Jawa Tengah;Kota Tegal;0;0;0;0;0;0;0;0;0
2022;D.I. Yogyakarta;Kab. Kulon Progo;43486;0;8156;11147;1087;136;0;719;0
2022;D.I. Yogyakarta;Kab. Gunungkidul;0;0;0;0;0;0;0;0;0
2022;D.I. Yogyakarta;Kota Yogyakarta;51393;277;19252;34355;609;1162;664;1162;1770
2022;Jawa Timur;Kab. Pacitan;35700;4725;8715;36750;5250;8400;3150;2100;210
2022;Jawa Timur;Kab. Ponorogo;62464;502;23068;30548;670;9238;1996;837;10229
2022;Jawa Timur;Kab. Trenggalek;75239;3958;12008;12956;1115;1171;1271;1784;1996
2022;Jawa Timur;Kab. Tulungagung;92988;31535;15161;25269;10107;9703;4043;4043;9299
2022;Jawa Timur;Kab. Kediri;111398;53947;10276;27153;480;4850;1513;11404;19063
2022;Jawa Timur;Kab. Malang;212612;22825;46281;53504;947;3927;1402;2349;6767
2022;Jawa Timur;Kab. Lumajang;77057;33216;20389;34077;2202;6222;2776;2872;12635
2022;Jawa Timur;Kab. Jember;185181;18518;18518;111109;3704;0;18518;3704;11111
